Wreck_Name,Wreck_No,Classification,Place_of_Loss,Date_of_Loss,DD_Lat,DD_Long,Source_of_Co_ordinate,Description,Record_Source,Date_of_Loss_Year_Only
Unknown,W15157,Unknown,"50 N, 12 W",02/05/1895,50,-12,Lloyd's List,We regret that we are unable to supply descriptive details for this record at present.,"Lloyd’s List, No. 17, 992 Fri. 3rd May 1895, 5 c.14.",1895
Unknown,W15159,Barque,"50 N, 9 W",06/06/1895,50,-9,Lloyd's List,We regret that we are unable to supply descriptive details for this record at present.,"Lloyd’s List, No. 17, 997 Thur. 9th May 1895, 7 c.16; Lloyd’s List, No. 17, 999 Sat. 11th May 1895, 7 c.18; Lloyd’s List, No. 18, 022 Fri. 7th Jun. 1895, 5 c.18.",1895
Unknown,W15176,Unknown,"50 N, 10 W",20/09/1895,50,-10,Lloyd's List,We regret that we are unable to supply descriptive details for this record at present.,"Lloyd’s List, No. 18, 114 Mon. 23rd Sept. 1895, 8 c.23.",1895
Unknown,W15235,Unknown,"50 N, 10 W / 51 30 N, 10 14 W",26/06/1899,50,-10,Lloyd's List,We regret that we are unable to supply descriptive details for this record at present.,"Lloyd’s List, No. 19, 282 Tue. 27th Jun. 1899, 10 c.24; Lloyd’s List, No. 19, 292 Sat. 8th Jul. 1899, 10 c.21.",1899
Jane,W15264,Unknown,"Cape Clear, c. 300 miles WSW of",22/10/1849,50,-16,Lloyd's List (floating abandoned),We regret that we are unable to supply descriptive details for this record at present.,"Lloyd's List 11, 107, Wednesday 24th October 1849.",1849
Arthur,W15693,Unknown,"50 N, 12 W",30/03/1857,50,-12,Lloyd's List,We regret that we are unable to supply descriptive details for this record at present.,"Lloyd’s List, No. 13415, Mon. 30th Mar. 1857, 4 c.15.",1857
Troubadour,W15714,Unknown,"50 N, 9 W",14/09/1857,50,-9,Lloyd's List,We regret that we are unable to supply descriptive details for this record at present.,"Lloyd’s List, No. 13565, Tue. 22nd Sep. 1857, 5 c.19; Lloyd’s List, No. 13606, Tue. 10th Nov. 1857, 4 c.14; Lloyd’s List, No. 13608, Thur. 12th Nov. 1857, 4 c.13.",1857
Calcutta,W15718,Barque,"50 N, 9 W",01/12/1857,50,-9,Lloyd's List,We regret that we are unable to supply descriptive details for this record at present.,"Lloyd’s List, No. 13619, Wed. 25th Nov. 1857, 3 c.12; Lloyd’s List, No. 13624, Tue. 1st Dec. 1857, 7 c.25; Lloyd’s List, No. 13625, Wed. 2nd Dec. 1857, 3 c.12; Lloyd’s List, No. 13629, Mon. 7th Dec. 1857, 4 c.13; Lloyd’s List, No. 13630, Tue. 8th Dec. 1857, 5 c.18.",1857
Penelope,W15730,Brig,"50 N, 15 W",11/12/1859,50,-15,Lloyd's List,We regret that we are unable to supply descriptive details for this record at present.,"Lloyd’s List, No. 14, 263, Wed. 21st Dec. 1859, 3 c.11.",1859
Rio,W15909,Barque,"50 N, 15 W",21/11/1858,50,-15,Lloyd's List,We regret that we are unable to supply descriptive details for this record at present.,"Lloyd’s List, No. 13930, Thur. 25th Nov. 1858, 3 c.12; Lloyd’s List, No. 13932, Sat. 27th Nov. 1858, 5 c.18.",1858
DOROTHEA,W15911,Barque,"50 N, 10 W",20/11/1858,50,-10,Lloyd's List,We regret that we are unable to supply descriptive details for this record at present.,"Lloyd’s List, No. 13931, Fri. 26th Nov. 1858, 4 c.13; Lloyd’s List, No. 13934, Tue. 30th Nov. 1858, 8 c.30.",1858
Unknown,W15969,Brig,"50 N, 12 W",04/02/1853,50,-12,Lloyd's List,We regret that we are unable to supply descriptive details for this record at present.,"Lloyd’s List, No. 12115, Fri. 21st Jan. 1853, 3 c.10; Lloyd’s List, No. 12127, Fri. 4th Feb. 1853, 2 c.8; Lloyd’s List, No. 12144, Thur. 24th Feb. 1853, 2 c.7-8.",1853
Unknown,W15977,Brig,"50 N, 16 W",05/11/1853,50,-16,Lloyd's List,We regret that we are unable to supply descriptive details for this record at present.,"Lloyd’s List, No. 12368, Mon. 14th Nov. 1853, 3 c.17.",1853
Unknown,W15980,Brig,"50 N, 16 W",09/12/1853,50,-16,Lloyd's List,We regret that we are unable to supply descriptive details for this record at present.,"Lloyd’s List, No. 12384, Sat. 3rd Dec. 1853, 3 c.9; Lloyd’s List, No. 12396, Fri. 16th Dec. 1853, 3 c.12.",1853
Unknown,W15984,Unknown,"50 N, 15 W",10/12/1853,50,-15,Lloyd's List,We regret that we are unable to supply descriptive details for this record at present.,"Lloyd’s List, No. 12409, Sat. 31st Dec. 1853, 2 c.5.",1853
Unknown,W16007,Ship,"50 N, 14 W",09/09/1854,50,-14,Lloyd's List,We regret that we are unable to supply descriptive details for this record at present.,"Lloyd’s List, No. 12628, Fri. 15th Sep. 1854, 4 c.7; Lloyd’s List, No. 12633, Thur. 21st Sep. 1854, 5 c.11.",1854
Unknown,W16044,Unknown,"50 N, 13 W",15/10/1856,50,-13,Lloyd's List,We regret that we are unable to supply descriptive details for this record at present.,"Lloyd’s List, No. 13280, Wed. 22nd Oct. 1856 P.4, c.13.",1856
Unknown,W16068,Unknown,"50 N, 10 W",07/02/1858,50,-10,Lloyd's List,We regret that we are unable to supply descriptive details for this record at present.,"Lloyd’s List, No. 13694, Mon. 22nd Feb. 1858, 3 c.12.",1858
Unknown,W16073,Unknown,"50 N, 16 W",13/05/1858,50,-16,Lloyd's List,We regret that we are unable to supply descriptive details for this record at present.,"Lloyd’s List, No. 13773, Wed. 26th May 1858, 4 c.15.",1858
Unknown,W16074,Ship,"50 N, 14 W",19/06/1858,50,-14,Lloyd's List,We regret that we are unable to supply descriptive details for this record at present.,"Lloyd’s List, No. 13798, Thur. 24th Jun. 1858, 5 c.17.",1858
Unknown,W16102,Unknown,"50 N, 14 W",03/11/1859,50,-14,Lloyd's List,We regret that we are unable to supply descriptive details for this record at present.,"Lloyd’s List, No. 14, 237, Mon. 21st Nov. 1859, 5 c.19.",1859
Unknown,W16105,Unknown,"50 N, 14 W",13/11/1859,50,-14,Lloyd's List,We regret that we are unable to supply descriptive details for this record at present.,"Lloyd’s List, No. 14, 241, Fri. 25th Nov. 1859, 4 c.14.",1859
Unknown,W16113,Ship,"50 N, 13 W",13/12/1859,50,-13,Lloyd's List,We regret that we are unable to supply descriptive details for this record at present.,"Lloyd’s List, No. 14, 265, Fri. 23rd Dec. 1859, 4 c.15.",1859
Port Glasgow,W16619,Barque,"Cape Clear, 30M SW of",28/04/1871,50,-11,Lloyd's List,We regret that we are unable to supply descriptive details for this record at present.,"Lloyd’s List, No. 17, 794, Thursday 27th April 1871, 6; Lloyd’s List, No. 17, 794, Saturday 29th April 1871, 7.",1871
Sovereign,W16639,Schooner,"50 N, 11 W",03/12/1871,50,-11,Lloyd's List,We regret that we are unable to supply descriptive details for this record at present.,"Lloyd’s List, No. 17, 986, Monday 11th December 1871, 8.",1871
Unknown,W16733,Unknown,"Cape Clear, c. 100 miles SSW of",2/4/01,50,-10.18333,Lloyd's List (floating wreckage),We regret that we are unable to supply descriptive details for this record at present.,"Lloyd's List 19, 838, Friday, 12th April 1901.",1901
Unknown,W16735,Unknown,"Cape Clear, c. 155 miles SW of",25/03/1901,50,-12.25,Lloyd's List (floating wreckage),We regret that we are unable to supply descriptive details for this record at present.,"Lloyd's List 19, 838, Friday, 12th April 1901; LL 19, 854, Wednesday, 1st May 1901.",1901
Clara,W16755,Brig,"50 N, 10 W",13/02/1874,50,-10,Lloyd's List,We regret that we are unable to supply descriptive details for this record at present.,"Lloyd’s List, No. 18, 668, Thursday 19th February 1874, 9; Lloyd’s List, No. 18, 669, Friday 20th February 1874, 8.",1874
Atlantic,W16782,Ship,"50 N, 11 W",09/06/1874,50,-11,Lloyd's List,We regret that we are unable to supply descriptive details for this record at present.,"Lloyd’s List, No. 18, 732, Wednesday 6th May 1874, 4; Lloyd’s List, No. 18, 733, Thursday 7th May 1874, 5; Lloyd’s List, No. 18, 734, Friday 8th May 1874, 4; Lloyd’s List, No. 18, 736, Monday 11th May 1874, 5; Lloyd’s List, No. 18, 738, Wednesday 13th May 1874, 4; Lloyd’s List, No. 18, 740, Friday 15th May 1874, 5; Lloyd’s List, No. 18, 752, Friday 29th May 1874, 5; Lloyd’s List, No. 18, 754, Monday 1st June 1874, 5; Lloyd’s List, No. 18, 755, Tuesday 2nd June 1874, 4; Lloyd’s List, No. 18, 756, Wednesday 3rd June 1874, 4; Lloyd’s List, No. 18, 756, Wednesday 3rd June 1874, 5; Lloyd’s List, No. 18, 758, Friday 5th June 1874, 5; Lloyd’s List, No. 18, 762, Wednesday 10th June 1874, 4.",1874
Amity,W16795,Barque,"50 N, 10 W",23/12/1874,50,-10,Lloyd's List,We regret that we are unable to supply descriptive details for this record at present.,"Lloyd’s List, No. 18, 931, Thursday 24th December 1874, 9; Lloyd’s List, No. 18, 942, Thursday 7th January 1875, 8.",1874
Unknown,W16894,Unknown,"Galley Head, 110 miles S. of",2/7/02,50,-9,,We regret that we are unable to supply descriptive details for this record at present.,"Lloyd's List 20, 222, Monday, 7th July 1902.",1902
Unknown,W17074,Unknown,"Cape Clear, c. 180 miles SW of",21/07/1905,50,-13,Lloyd's List (floating wreck),We regret that we are unable to supply descriptive details for this record at present.,"Lloyd's List 21, 167, Saturday 22nd July 1905.",1905
Unknown,W17075,Unknown,"Cape Clear, 70M from",16/07/1871,50,-15,Lloyd’s List,We regret that we are unable to supply descriptive details for this record at present.,"Lloyd’s List, No. 17, 726, Wednesday 8th Feb 1871, 5; Lloyd’s List, No. 17, 840, Friday 23rd June 1871, 7; Lloyd’s List, No. 17, 864, Friday 21st July 1871, 5.",1871
Unknown,W17107,Unknown,50 N 10 W,19/02/1873,50,-10,Lloyd's List,We regret that we are unable to supply descriptive details for this record at present.,"Lloyd’s List, No. 18, 362, Tuesday 25th February 1873, 4.",1873
Unknown,W17118,Brig,"50 N, 11 W",12/02/1874,50,-11,Lloyd's List,We regret that we are unable to supply descriptive details for this record at present.,"Lloyd’s List, No. 18, 670, Saturday 21st February 1874, 8; Lloyd’s List, No. 18, 694, Saturday 21st March 1874, 9.",1874
Unknown,W17142,Boat,"50 N, 14 W",22/06/1875,50,-14,Lloyd's List,We regret that we are unable to supply descriptive details for this record at present.,"Lloyd’s List, No. 19, 086, Friday 25th June 1875, 9

Queenstown, 24th June. 5, m.
The Friends, Jacksonn, arrived here from Grenada, reports that on the 22nd June, in lat. 50 N lon. 14 W, she, assed a ship’s boat, bottom up , it was clinker built, ainted white, about 18 feet long, and apparently not long in the water.",1875
Unknown,W17156,Boat,"50 N, 10 W",07/10/1876,50,-10,Lloyd's List,We regret that we are unable to supply descriptive details for this record at present.,"Lloyd’s List, No. 19, 509, Thursday 2nd November 1876, 11.",1876
Edith Louise,W17158,Schooner,"Cape Clear, c. 100 miles SSE of",12/3/06,50,-9,Lloyd's List (abandoned vessel),We regret that we are unable to supply descriptive details for this record at present.,"Lloyd's List 21, 366, Wednesday 15th March 1906; LL 21, 369; Friday 16th March 1906.",1906
Unknown,W17166,Unknown,"50 N, 13 W",03/07/1877,50,-13,Lloyd's List,We regret that we are unable to supply descriptive details for this record at present.,"Lloyd’s List, No. 19, 718, Friday 9th July 1877, 11.",1877
Unknown,W17177,Unknown,"50 N, 13 W",11/02/1878,50,-13,Lloyd's List,We regret that we are unable to supply descriptive details for this record at present.,"Lloyd’s List, No. 19, 953, Tuesday, 9th April 1878, 14.",1878
Unknown,W17187,Unknown,"50 N, 10 W",16/04/1878,50,-10,Lloyd's List,We regret that we are unable to supply descriptive details for this record at present.,"Lloyd’s List, No. 19, 966, Wednesday 24th April 1878, 15.",1878
Unknown,W17320,Unknown,"Mizen Head, c. 210 miles SW of",25/05/1880,50,-14,Lloyd's list (lifeboat),We regret that we are unable to supply descriptive details for this record at present.,"Lloyd's List 20, 620, 29th May 1880, 11.",1880
Alfred,W17328,Barque,"Cape Clear, c. 300 miles WSW of",16/11/1880,50,-16,Lloyd's List (abandoned vessel),We regret that we are unable to supply descriptive details for this record at present.,"Lloyd's List 20, 774, 25th November 1880, 10.",1880
Jean D'Acre,W17741,Unknown,"Cape Clear, c. 90 miles SSW of",02/12/1860,50,-10,Lloyd's List (abandoned vessel),We regret that we are unable to supply descriptive details for this record at present.,"Lloyd's List No. 14, 561, Tuesday, 4th December1860.",1860
Unknown,W17746,Unknown,"Cape Clear, c. 87 miles S. of",24/12/1860,50,-10,Lloyd's List (floating wreckage),We regret that we are unable to supply descriptive details for this record at present.,"Lloyd's List No. 14, 582, Saturday, 29th December1860.",1860
Recife,W17761,Barque,"Cape Clear, 305 miles SW of",24/12/1860,50,-16,Lloyd's List (abandoned vessel),We regret that we are unable to supply descriptive details for this record at present.,"Lloyd's List No. 14, 595, Monday 14th January 1861.",1860
Unknown,W17787,Unknown,"Cape Clear, c. 117 miles SW of",05/03/1861,50,-11,Lloyd's List (floating wreck),We regret that we are unable to supply descriptive details for this record at present.,"Lloyd's List No. 14, 643, Monday 11th March 1861.",1861
Unknown,W17799,Unknown,"Cape Clear, c. 305 miles WSW of",20/05/1861,50,-16,Lloyd's List (floating wreckage),We regret that we are unable to supply descriptive details for this record at present.,"Lloyd's List No. 14, 709, Tuesday 28th May 1861.",1861
Unknown,W17825,Unknown,"Cape Clear, c. 180 miles SW of",27/10/1861,50,-13,Lloyd's List (floating wreckage),We regret that we are unable to supply descriptive details for this record at present.,"Lloyd's List No. 14, 840, Monday 28th October 1861.",1861
Unknown,W17845,Unknown,"Cape Clear, c. 120 miles SW of",27/12/1861,50,-11,Lloyd's List (floating wreckage),We regret that we are unable to supply descriptive details for this record at present.,"Lloyd's List No. 14, 901, Wednesday, 8th January 1862.",1861
Go Forward,W17933,Schooner,"Cape Clear, c. 220 miles SW of",29/12/1862,50,-14,Lloyd's List (abandoned vessel),We regret that we are unable to supply descriptive details for this record at present.,"Lloyd's List No. 15, 209, Monday 5th January 1863.",1862
Unknown,W18038,Unknown,"Cape Clear, c. 100 miles S. of",24/02/1865,50,-9,Lloyd's List,We regret that we are unable to supply descriptive details for this record at present.,"Lloyd's List No. 15, 877, Tuesday 28th February 1865.",1865
Unknown,W18052,Unknown,"Cape Clear, c. 150 miles SW of",17/04/1865,50,-12,Lloyd's List (floating wreck),We regret that we are unable to supply descriptive details for this record at present.,"Lloyd's List No. 15, 921, Friday 21st April 1865.",1865
Unknown,W18058,Unknown,"Cape Clear, c. 100 miles S. of",19/06/1865,50,-9,Lloyd's List (Floating wreck),We regret that we are unable to supply descriptive details for this record at present.,"Lloyd's List No. 15, 979, Wednesday 28th June 1865.",1865
Unknown,W18109,Unknown,"Cape Clear, c. 145 miles SW of",18/01/1866,50,-12,Lloyd's List (floating wreckage),We regret that we are unable to supply descriptive details for this record at present.,"Lloyd's List No. 16, 157, Tuesday, 23rd January 1866.",1866
Narborough,W18128,Unknown,"Cape Clear, c. 260 miles SW of",16/04/1866,50,-15,Lloyd's List (abandoned vessel),We regret that we are unable to supply descriptive details for this record at present.,"Lloyd's List No. 16, 232, Saturday, 21st April 1866.",1866
Unknown,W18150,Unknown,"Cape Clear, c. 100 miles SSW of",08/10/1866,50,-10,Lloyd's List (Floating wreck),We regret that we are unable to supply descriptive details for this record at present.,"Lloyd's List No. 16, 377, Monday, 8th October 1866; LL No. 16, 386, Thursday, 18th October 1866; LL No. 16, 393, Friday, 26th October 1866; LL No. 16, 394, Saturday, 27th October 1866.",1866
William Vaile / Wm. Vaile,W18224,Unknown,"Cape Clear, c. 220 miles SW of",21/03/1867,50,-14,Lloyd's List (abandoned vessel),We regret that we are unable to supply descriptive details for this record at present.,"Lloyd's List No. 16, 521, Tuesday, 26th March 1867.",1867
Alma,W18283,Ship,"Cape Clear, c. 120 miles SW of / 80 nautical (?) miles SSW / Cape Clear c. 100 miles S. of",10/11/1867,50,-9,Lloyd's List,We regret that we are unable to supply descriptive details for this record at present.,"Lloyd's List No. 16, 716, Saturday, 9th November 1867; LL No. 16, 721, Friday, 15th November 1867; LL No. 16, 726, Thursday, 21st November 1867.",1867
Esmok,W18284,Ship,"Cape Clear, c. 120 miles SW of",06/11/1867,50,-11,Lloyd's List,We regret that we are unable to supply descriptive details for this record at present.,"Lloyd's List No. 16, 716, Saturday, 9th November 1867; LL No. 16, 724, Tuesday, 19th November 1867.",1867
Unknown,W18285,Ship,"Cape Clear, c. 100 miles S. of",10/11/67,50,-9,Lloyd's List,We regret that we are unable to supply descriptive details for this record at present.,"Lloyd's List No. 16, 721, Friday, 15th November 1867.",1967
Pritchett,W18397,Unknown,"Cape Clear, c. 185 miles SW of",31/12/1868,50,-13,Lloyd's List (derelict vessel),We regret that we are unable to supply descriptive details for this record at present.,"Lloyd's List No. 17, 092, Monday 25th January 1869.",1868
Unknown,W18408,Unknown,"Cape Clear, 265 Miles WSW of",23/02/1869,50,-15,Lloyd's List (Floating wreckage),We regret that we are unable to supply descriptive details for this record at present.,"Lloyd's List No. 17, 113, Thursday 18th February 1869; LL No. 17, 118, Wednesday 24th February 1869.",1869
Unknown,W18410,Unknown,"Cape Clear, 150 miles SW of",13/02/1869,50,-12,Lloyd's List,We regret that we are unable to supply descriptive details for this record at present.,"Lloyd's List No. 17, 113, Thursday 18th February 1869.",1869
Unknown,W18422,Barque,"Cape Clear, c. 305 miles SW of",20/01/1869,50,-16,Lloyd's List (derelict vessel),We regret that we are unable to supply descriptive details for this record at present.,"Lloyd's List No. 17, 142, Wednesday 24th March 1869.",1869
Unknown,W18432,Unknown,"Cape Clear, c. 225 miles SW of",10/08/1869,50,-14,Lloyd's List (floating wreckage),We regret that we are unable to supply descriptive details for this record at present.,"Lloyd's List No. 17, 267, Wednesday 18th August 1869.",1869
Unknown,W18445,Unknown,"Cape Clear, c. 145 miles SW of",05/11/1869,50,-12,Lloyd's List (floating wreck),We regret that we are unable to supply descriptive details for this record at present.,"Lloyd's List No. 17, 348, Saturday 20th November 1869.",1869
Scotia,W18504,Barque,"Cape Clear, c. 120 miles SW of",29/10/1880,50,-11,Lloyd's List,"Barque of Liverpool en route from Quebec to Liverpool was abandoned waterlogged on 29 October 1880 c. 120 miles SW of Cape Clear and was presumed sunk. The crew were saved.
----------------------------","Lloyd's List No. 20, 756, 4th November 1880, 9.",1880
Wartenfels (SS),W11686,Steamship,"Fastnet, 120 miles SWEnglish Channel, W approaches",5/2/17,49.987,-11.74033,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,"BVLS 1914-18, 31.",1917
Frangoula B. Goulandris (SS),W09674,Steamship,English Channel W approaches,30/06/1940,49.98333,-11.4,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,,1940
U-774,W10247,Submarine,English Channel W approaches,8/4/45,49.96667,-11.85,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,,1945
Unknown,W11430,Unknown,"English Channel, W approaches",Unknown,49.9505,-10.36733,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,,
City of Bremen (SS),W09549,Steamship,English Channel W approaches,2/6/42,49.95,-11.58333,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,"Lloyd's List 39, 805, Monday 15th June 1942.",1942
Monkstone (SS),W09877,Unknown,"Scilly Isles, Cornwall, 240 miles W / English Channel W approaches",25/07/1917,49.95,-12.51639,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,"BVLS 1914-18, 60.",1917
Unknown,W10982,Unknown,Unknown,Unknown,49.95,-10.36667,UKHO,We regret that we are unable to supply descriptive details for this record at present.,,
Unknown,W10992,Unknown,Unknown,Unknown,49.95,-9.36667,UKHO,We regret that we are unable to supply descriptive details for this record at present.,,
Regent Tiger,W12146,Motor-ship,Bishop Rock 400 miles west of,8/9/39,49.95,-15.56667,,We regret that we are unable to supply descriptive details for this record at present.,"Hocking 1989, 583; BVLS 1939-45, 1; Lloyd’s List, No. 38, 954, Mon. 11th Sept. 1939, 4 c.32.",1939
Glenogle (SS),W09694,Steamship,English Channel W approaches,27/03/1917,49.94733,-13.41167,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,"Hocking 1989, 275; BVLS 1914-18, 39.",1917
Bronte (SS),W09496,Steamship,"Fastnet, 100nm SW",27/10/1939,49.93333,-10.86667,UKHO,We regret that we are unable to supply descriptive details for this record at present.,"BVLS 1939-45, 2; Lloyd’s List, No. 38, 998, Wed. 1st Nov. 1939, 4 c.31; Lloyd’s List, No. 38, 999, Thursday 2nd Nov. 1939, 2; Lloyd’s List, No. 38, 999, Thursday 2nd Nov. 1939, 4 c.30 {Supplement}.",1939
Unknown,W10981,Unknown,Unknown,Unknown,49.93333,-10,UKHO,We regret that we are unable to supply descriptive details for this record at present.,,
Unknown,W15208,Unknown,"49 56 N, 9 19 W",31/12/1897,49.93333,-9.31667,Lloyd's List,We regret that we are unable to supply descriptive details for this record at present.,"Lloyd’s List, No. 18, 513 Mon. 4th Jan. 1897, 8 c.20.",1897
Unknown,W10991,Unknown,Unknown,Unknown,49.92167,-9.56333,UKHO,We regret that we are unable to supply descriptive details for this record at present.,,
Mantola (SS),W08577,Liner,"Fastnet, 143 miles WSW of",8/2/17,49.91667,-12.41667,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,"Hocking, 1969, 450.",1917
Providentia (MFV),W09963,Unknown,Unknown,17/07/1940,49.91667,-9.2,UKHO,We regret that we are unable to supply descriptive details for this record at present.,,1940
Unknown,W14674,Sailing Boat,"49 55 N, 9 15 W / 50 44 N, 9 1 W",29/08/1915,49.91667,-9.25,Lloyd's List,We regret that we are unable to supply descriptive details for this record at present.,"Lloyd’s List, No. 31, 604, Thur. 30th Sept. 1915, 15; Lloyd’s List, No. 31, 612, Sat. 9th Oct. 1915, 15.",1915
Unknown,W15155,Barque,"49 54 N, 9 11 W",31/03/1895,49.9,-9.18333,Lloyd's List,We regret that we are unable to supply descriptive details for this record at present.,"Lloyd’s List, No. 17, 980 Fri.19th Apr. 1895, 5 c.19.",1895
Jeanne Cardonnier,W09765,Bark,English Channel W approaches,31/05/1917,49.88533,-10.2,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,,1917
Unknown,W15140,Unknown,"49 53N, 9 47W",06/07/1894,49.88333,-9.78333,Lloyd's List,We regret that we are unable to supply descriptive details for this record at present.,"Lloyd’s List, No. 17, 755 Sat. 28th Jul. 1894, 7, c.17.",1894
Bestum (SS),W09466,Steamship,"St. George's Channel, SW part",12/8/17,49.87283,-10.32483,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,,1917
Wild Swan,W11692,Destroyer,"English Channel, W approaches",17/06/1942,49.86667,-10.73333,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,"Hocking 1989, 758.",1942
Hester,W12335,Brigantine,"49º 52' N., Long. 9º 06' W.",28/04/1883,49.86667,-9.1,"Parliamentary Papers 1884, LXXI",We regret that we are unable to supply descriptive details for this record at present.,"PP 1884 LXXI, 92; PP 1886 LIX, 130-1.",1883
Unknown,W11013,Unknown,Unknown,Unknown,49.83445,-8.97792,UKHO,We regret that we are unable to supply descriptive details for this record at present.,,
Mario Gallego (MFV),W09859,Unknown,"Cape Clear, 178km south",27/06/2005,49.83333,-9.11667,www.wrecksite.eu,"Fishing boat.
----------------------------",www.wrecksite.eu,2005
Mera 1,W09866,Unknown,Unknown,22/04/2000,49.83333,-11.4,UKHO,We regret that we are unable to supply descriptive details for this record at present.,,2000
Monsoon,W12303,Barque,"49º 50' N., Long. 9º W.",08/02/1881,49.83333,-9,"Parliamentary Papers 1882, LXIII",We regret that we are unable to supply descriptive details for this record at present.,"PP 1882 LXIII, 91; PP 1886 LIX, 74-5.",1881
Hurona,W12548,Steamship,"49 50 N, 9 30 W",26/12/1912,49.83333,-9.5,,We regret that we are unable to supply descriptive details for this record at present.,"PP 1914, LXX, 111.",1912
Pivoine (SS),W14344,Steam Trawler,Unknown,31/01/1939,49.83333,-13,,We regret that we are unable to supply descriptive details for this record at present.,"Lloyd’s List, No. 38, 768, Wed. 1st Feb. 1939, 9 c.37; Lloyd’s List, No. 38, 769, Thursday 2nd Feb. 1939, 7 c.23; Lloyd’s List, No. 38, 770, Fri. 3rd Feb. 1939, 7 c.21; Lloyd’s List, No. 38, 771, Sat. 4th Feb. 1939, 4 c.20; Lloyd’s List, No. 38, 801, Sat. 11th Mar. 1939, 5 c.24; Lloyd’s List, No. 38, 817, Thursday 30th Mar. 1939, 7 c.23.",1939
Unknown,W14349,Airplane,Unknown,9/6/39,49.83333,-9.58333,,We regret that we are unable to supply descriptive details for this record at present.,"Lloyd’s List, No. 38, 877, Mon. 12th Jun. 1939.",1939
Askepot,W09422,Unknown,"St. George's Channel, SW part",29/04/1917,49.8,-9.26667,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,,1917
Motorola,W09883,Yacht,Unknown,9/6/80,49.8,-11.8,UKHO,We regret that we are unable to supply descriptive details for this record at present.,,1980
Arethusa,W12056,Unknown,"49º 48´ N., 9º 0´ W. (abandoned)",16/02/1861,49.8,-9,"Parliamentary Papers 1862, LIV",We regret that we are unable to supply descriptive details for this record at present.,"PP 1862 LIV, 58.",1861
Unknown,W10980,Unknown,Unknown,Unknown,49.78333,-10.23333,UKHO,We regret that we are unable to supply descriptive details for this record at present.,,
Papelera (SS),W14523,Steamship,Unknown,16/04/1916,49.78333,-9.36667,uboat.net,We regret that we are unable to supply descriptive details for this record at present.,"Lloyd’s List, No. 31, 775, Wed. 19th Apr. 1916, 7 c.20.",1916
Unknown,W16118,Unknown,"Cape Clear, 280 miles SW of",27/10/1921,49.78333,-15.4,Lloyd's List (floating wreck),We regret that we are unable to supply descriptive details for this record at present.,"Lloyd's List 33, 368, Friday 28th October 1921.",1921
Unknown,W15579,Unknown,"Cape Clear, 140 miles SSW of",4/7/23,49.76667,-11.33333,Lloyd's List (submerged wreck),We regret that we are unable to supply descriptive details for this record at present.,"Lloyd's List 33, 984, Friday 6th July 1923; LL 34, 005, Tuesday 31st July 1923.",1923
Cape Howe (SS),W09517,Steamship,"St. George's Channel, SW part",21/06/1940,49.75,-8.78333,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,"Hocking 1989, 120.",1940
Unknown,W13761,Unknown,"Baltimore, c. 170 miles S. of",31/01/1940,49.75,-9.25,Lloyd's List,We regret that we are unable to supply descriptive details for this record at present.,"Lloyd's List 39, 076, Friday, 2nd February 1940.",1940
Nyarlathotep,W09913,Yacht,Unknown,17/06/1976,49.73333,-10,UKHO,We regret that we are unable to supply descriptive details for this record at present.,,1976
Prunella (HMS),W09964,Steamship,"Iceland, S of",21/06/1940,49.73333,-8.86667,UKHO,We regret that we are unable to supply descriptive details for this record at present.,"Hocking 1989, 570.",1940
British Influence (MV),W09494,Tanker,"English Channel W approaches / 49 43N, 12 49W",14/09/1939,49.71667,-12.81667,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,"Hocking 1989, 104; BVLS 1939-45, 1; Lloyd’s List, No. 38, 966, Mon. 25th Sept. 1939, 4 c.33.",1939
Unknown,W15122,Ship,"49 43N,  15 19W",25/07/1893,49.71667,-15.31667,Lloyd's List,We regret that we are unable to supply descriptive details for this record at present.,"Lloyd’s List, No. 17, 457 Sat. 12th Aug. 1893, 7, c.18.",1893
Unknown,W16208,Unknown,"Cape Clear, c. 125 miles SSW of",13/08/1900,49.71667,-10.33333,Lloyd's List (floating wreckage),We regret that we are unable to supply descriptive details for this record at present.,"Lloyd's List 19, 636, Thursday, 16th August 1900.",1900
Unknown,W16998,Unknown,"Cape Clear, c. 220 miles SW of",3/5/03,49.71667,-13.78333,,We regret that we are unable to supply descriptive details for this record at present.,"Lloyd's List 20, 488, Friday, 15th May 1903.",1903
